"Data Source","World Development Indicators",

"Last Updated Date","2021-07-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bhutan","BTN","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","9039","9324","10361","","12810","","16671","18821","19595","22648","29899","34481","37404","41372","44275","45395","49485","51948","55340","","","52017","51411","56773","60089","64915","69968","74666","78007","81156","85092","88204","90944","93974","97323","99458","102225","104467","106100","108842","110369","111183","110575","104323","101667","99291","96654","94184","91768","","94165",
"Botswana","BWA","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","83002","78442","81662","95511","103711","116293","125588","137290","145459","156664","171914","178107","187065","198328","209772","223608","235941","248823","261352","275437","283516","298812","301482","305479","310128","313693","318629","322268","321271","322475","324283","329451","330835","330376","328692","329191","330417","327617","327233","330775","","","335830","340065","340700","344618","","","","","",
"Central African Republic","CAF","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","176300","177776","193866","200445","215887","221432","234482","238605","240720","243419","246174","259525","271117","291444","308022","309656","274179","286422","297457","323661","308409","277961","","","","","","","","","458585","410562","414537","363158","412381","418825","494985","584078","608075","636871","648370","662317","","","","813767","","","","",
"Canada","CAN","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","2846220","2786106","2695021","2597576","2534137","2440016","2361318","2295925","2239354","2205865","2184919","2296996","2271784","2251535","2244170","2254887","2269639","2290535","2319300","2345000","2375704","2394115","2399224","2400819","2413126","2448144","","2403709","2428620","2456434","","","","2389188","2320738","2305211","2260819","2200335","2193237","2168022","2153778","2182843","2206136","2249164","2303964","2318914","2364626","2407006","","",
"Central Europe and the Baltics","CEB","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","8465613","8125381","7861508","7593367","7470556","7421703","7463364","7510968","7567443","7598331","7582049","7597262","7817784","8029968","8221465","8353190","8412799","8469504","8408153","8275624","8037554","7875906","7820601","7812640","7809599","7775469","7742684","7796121","7668135","7386684","7118397","6843022","6548818","6273652","6051869","5777246","5534494","5402565","5199063","5077475","4984701","4908890","4885121","5052525","5062879","5116401","5200001","5289611","5292234","5299885","",
"Switzerland","CHE","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","557856","561773","561645","556885","503153","502337","485902","468531","450942","434288","415478","398931","385474","376512","373245","375302","383042","394061","404154","414129","443512","447240","461805","477643","","522741","529610","538372","537744","536423","535577","532092","524222","517056","510804","505382","499435","492508","487436","483466","483707","483900","490469","498338","507686","514664","","",
"Channel Islands","CHI","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","1752005","1876954","1907160","1931356","1937002","1899501","1845796","1825758","1810257","1804834","1754075","1714614","1676005","1647081","1593266","1596471","1574899","","1543596","1564047","1593486","1609140","1583503","1608204","","","1687386","1753867","1777257","1804612","1798515","","1753952","1713538","1755997","1720951","1694765","1679017","1656810","1611682","1546543","1520405","1503898","1472348","1469099","1477538","1493732","1514761","1540085","","",
"China","CHN","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","100668000","105280000","112112000","125492000","135704000","144814000","150940992","150055008","146176000","146240000","146629408","146270000","143328000","139720400","135780400","135571200","133701800","131825000","128358496","125357800","123731000","122413800","121641504","122012800","124212400","128226232","131951480","136150048","139953696","","","130132544","","","","","108925224","107394752","105950504","103617064","101018624","99707840","99540480","98870816","95107120","95958040","98189336","100321024","101872976","104325248","",
"Cote d'Ivoire","CIV","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","464817","502865","527615","566689","606263","641369","672707","735511","810244","888728","954190","1024585","1085124","1134915","1159824","1179456","1214511","1251531","1306695","1364263","1405187","1414865","1447785","1463963","1553540","1609929","1662265","1735814","1807503","1910820","1943101","2046861","2116223","2046165","","","2111975","2179801","2356240","2383359","","2757613","2920791","3021417","3176874","3370558","3617219","3772136","3900222","4003884","",
"Cameroon","CMR","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","923234","930131","967561","1014135","1074021","1122900","1146437","1202841","1254065","1302974","1379205","1443728","1535582","1563852","1634428","1705319","1795254","1875221","1881884","1946301","1964146","1915148","","1892778","1896722","1786340","1921186","2023809","2133707","2237083","2689052","2741627","2798523","2979011","2977781","2998135","3120357","3201477","3350662","3510396","3585173","3848611","","4142775","4369988","4481235","4371381","4201988","4399897","",
"Congo, Dem. Rep.","COD","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","3088011","3181242","3292020","3363384","3429076","3544498","3644578","3789530","3919395","4054758","4195699","4342470","4495346","4654613","4522363","4650756","4156029","4356516","","3429633","4562430","4622758","4870933","4939297","5417506","","","4827679","4022411","","","5455391","","","","","8839888","9973365","10244086","10572422","11082501","12004804","12600876","13534625","13763196","","","16807014","","",
"Congo, Rep.","COG","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","241101","262111","277384","293138","307194","319101","330456","345736","358761","383018","390676","406835","422874","443143","458237","475805","498588","491034","495015","492143","493918","492286","512060","505925","518400","497305","499485","427735","276451","418707","500921","525093","509507","584370","597304","617010","621702","628081","671683","705093","727020","734493","","","","","","","","",
"Colombia","COL","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","3286052","3466262","3570446","3733193","3791543","3911244","4058044","4160527","4265598","4337607","4168200","4217800","3930303","3983141","4009423","4039533","4002543","4114954","4160580","4205657","4246658","4310970","4525959","4599132","4648335","4692614","4916934","","5136274","5162260","5221018","5131463","5193055","","5259033","5298257","5296190","5292476","5285523","5299258","5084972","4924346","4742456","4708466","4542644","4479218","4448238","4351705","4303833","","",
"Comoros","COM","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","15047","15580","20086","23194","28614","35818","42338","","49940","","59709","","61469","61905","62265","66084","62404","64737","66326","67825","72824","75577","73827","77837","","78527","","85983","82789","93421","","104274","104274","103809","","","104518","111115","","","116564","","120186","120381","","","121517","124240","","",
"Cabo Verde","CPV","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","27908","34421","42766","49424","52555","64794","60386","59498","58825","58111","57587","56332","52909","55751","56692","57909","60226","62727","65377","67761","69833","","","78173","","","","91777","92523","91636","90640","89809","87843","85138","82985","81434","78801","76299","73548","71134","69115","67903","67745","67023","65580","64326","63582","64127","","",
"Costa Rica","CRI","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","349378","356152","365545","373901","367901","361303","365957","367026","359680","353894","348674","348616","342373","343800","350658","362877","380384","393305","409621","422102","435205","453297","471049","484958","495879","507037","518603","525273","529637","569513","551465","552302","545509","","558084","542087","546542","536436","534816","531665","520609","506961","494720","480125","475731","473447","475756","472421","483770","497065","",
"Caribbean small states","CSS","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","966560.3","1040282","1059151","1040726","1041458","998596.1","982053","987610.2","975174.8","964846.3","939229.7","925572.6","932183.2","928634.9","914078","904504.6","890860.8","892191.9","891659.6","908963.7","902732.3","900061.6","909454.7","913137.3","918588.1","908834.5","896351.3","886322.5","876000.4","862524.8","864647.3","853567.6","838519.5","836426.2","841448.1","831652.4","829950.4","804203","811493","800354","778371","772578.1","762224.8","750726.4","736627.9","731543","721851.7","709950.8","708839.4","691467.9","",
"Cuba","CUB","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","1530376","1631187","1733208","1778724","1799857","1795752","1747738","1693942","1626386","1550323","1468538","1409765","1363078","1282989","1174453","1077213","1000971","936914","899936","885576","887737","917889","942431","983459","1007769","1074153","1094868","1081085","1074097","1045578","1006888","971542","925335","906293","895045","889834","883132","871444","868477","852744","828293","803194","772023","763364","745733","735405","733770","741269","750567","",
"Curacao","CUW","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20812","","","","","","","",
"Cayman Islands","CYM","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","1623","1686","1932","1897","1933","2234","2101","2113","2109","2123","","","","","","","","","","","","","","","","","","3231","3435","3549","3579","","3361","3240","3461","3706","3736","","","3985","4033","3950","","","","","4299","","",
"Cyprus","CYP","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","69160","66027","64186","63446","56649","56602","55366","55166","54309","50579","48701","46095","46198","46653","47381","50990","54254","56530","58720","60841","62962","63454","64313","64907","64884","64660","64761","","64248","63952","63637","63717","62868","61731","61247","59710","57785","56799","55837","54806","54371","54272","54069","53129","53773","54541","55862","57079","","",
"Czech Republic","CZE","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","672455","689139","697540","700364","691700","676554","672390","682519","699852","","647029","683089","712249","721209","708522","694659","668890","633509","599705","566762","545814","537996","528750","538612","538743","541671","659263","662647","654511","644956","630680","603843","566581","534366","502831","473269","462820","459899","460486","463357","468273","477413","491828","510613","534932","557455","575980","583522","","",
"Germany","DEU","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3431385","3438052","3582582","3639717","3727157","3804887","3859490","3865724","3767460","3655859","3519051","3373176","3303737","3305386","3306136","3329349","3311285","3236158","3150822","3067521","2989678","2936751","2890468","2862690","2879394","2895195","2954775","2987112","","",
"Djibouti","DJI","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","6422","6968","7781","8524","9306","9764","10198","12782","14121","15227","16841","18896","20433","21847","22533","25212","27136","28844","29833","31378","31706","33251","30589","33005","35024","36223","36896","37217","38194","38191","42392","44321","46364","48713","50651","53745","56667","56395","55546","","60992","63612","63368","64319","62940","61755","61846","62979","68701","69134",
"Dominica","DMA","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","17808","17758","17533","17048","17675","17166","17570","17402","16540","15601","14815","14803","","13283","","12340","12772","12600","","12690","12836","12120","12795","12822","12627","","","","12044","11774","11430","10984","10460","9872","9441","8912","8643","8369","8231","8138","8138","8144","7851","7695","7535","7323","","","6144","",
"Denmark","DNK","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","443031","451643","467405","482465","487329","490891","472134","461838","448370","442931","434635","432127","431946","426766","415148","402707","391895","380049","363031","350201","340267","327024","323651","326619","328875","336690","","360683","371694","384197","395870","415205","","419806","414103","415793","415793","410400","406622","403344","470807","470711","469568","467484","468536","471787","472523","468362","","",
"Dominican Republic","DOM","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","764085","823553","833439","836942","867592","911142","934769","946869","1032508","1069117","1105730","1149805","1092838","1121851","1205582","1219681","","","","","1073189","1090637","1122294","1121819","1121000","1171518","1170445","1267254","1315342","1363609","","1399844","1374624","1281885","1289745","1234450","1355085","1305661","1333468","1317802","1310199","1283515","1291154","1267930","1307128","1287118","1253342","1226414","1300211","",
"Algeria","DZA","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","1887148","2057048","2244844","2409367","2525365","2663248","2785264","2894084","2972242","3061252","3118827","3178912","3241924","3336536","3414705","3481288","3635332","3801651","3911388","4027612","4189152","4357352","4436363","4515274","4548827","4617728","4674947","4719137","4778870","4843313","4720950","4691870","4612574","4507703","4361744","4196580","4086925","3942242","3252664","3312440","3363236","3451588","3608812","3765307","3925429","4118362","4283207","4429994","4516571","",
"East Asia & Pacific (excluding high income)","EAP","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","142000000","148000000","156000000","170000000","182000000","193000000","201000000","202000000","201000000","202000000","205000000","206000000","205000000","203000000","200000000","201000000","199000000","198000000","195000000","193000000","191000000","191000000","191000000","192000000","195000000","199000000","203000000","207000000","211000000","211000000","208000000","201000000","189000000","179000000","189000000","183000000","179000000","178000000","176000000","174000000","172000000","171000000","171000000","170000000","167000000","168000000","170000000","172000000","173000000","176000000","",
"Early-demographic dividend","EAR","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","139000000","142000000","148000000","156000000","160000000","166000000","170000000","177000000","179000000","184000000","191000000","199000000","206000000","214000000","222000000","226000000","232000000","235000000","244000000","254000000","257000000","263000000","268000000","274000000","281000000","284000000","289000000","291000000","293000000","296000000","300000000","302000000","306000000","316000000","322000000","329000000","333000000","340000000","343000000","344000000","346000000","348000000","351000000","353000000","352000000","354000000","363000000","361000000","342000000","343000000","",
"East Asia & Pacific","EAS","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","160000000","166000000","175000000","189000000","200000000","211000000","220000000","221000000","220000000","222000000","225000000","227000000","226000000","223000000","220000000","220000000","218000000","216000000","213000000","210000000","208000000","208000000","208000000","208000000","211000000","214000000","218000000","222000000","226000000","226000000","223000000","216000000","204000000","193000000","204000000","198000000","193000000","192000000","190000000","188000000","185000000","184000000","184000000","183000000","180000000","180000000","182000000","184000000","185000000","189000000","",
"Europe & Central Asia (excluding high income)","ECA","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","22800000","22700000","22300000","21900000","21400000","20900000","20600000","20400000","20400000","20700000","21100000","21300000","21800000","22200000","22900000","23100000","23500000","24000000","24500000","24500000","24900000","25300000","25400000","25400000","25400000","25500000","26200000","25800000","25100000","24500000","23600000","23100000","22800000","22100000","22800000","21600000","21000000","20600000","20300000","20000000","20100000","20300000","20400000","19800000","20200000","20400000","21000000","21400000","22100000","22700000","",
"Europe & Central Asia","ECS","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","62600000","62700000","62300000","61500000","60900000","60200000","59600000","59000000","58500000","58100000","57800000","57200000","57000000","56800000","57000000","57000000","57000000","57300000","57500000","57300000","57200000","57300000","57100000","57100000","57000000","57100000","58200000","57800000","57200000","56300000","54900000","53900000","53000000","51900000","52400000","51100000","50200000","49600000","49200000","48700000","48600000","48800000","48900000","48900000","49200000","49800000","50500000","51400000","52300000","52800000","",
"Ecuador","ECU","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","984000","1018800","1065000","1129600","1164223","1216233","1256418","1307158","1404201","1450109","1534258","1589997","1633516","1677364","1700755","1738549","1789982","1822252","1827920","1842953","1846338","2019850","1986753","1751123","1777304","1812255","1888172","1882945","1899466","1925420","1955060","1982636","1987465","1989665","1997624","2006430","2039168","2008015","2098874","2114197","2128039","2089088","2068184","2093835","1998135","1951188","1929416","1932261","","",
"Egypt, Arab Rep.","EGY","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","3794911","3928634","4046863","3989861","4145454","4181198","4217845","4290364","4375272","4537233","4662816","4876462","5181611","5509852","5856704","6214250","6613503","7034617","7343716","6578126","6964306","6541725","6791128","7732308","7313038","8185030","8243137","","8086230","7947488","7856340","7855433","7874308","7928380","9563627","9794591","9988181","","10407187","10542138","10266010","10945595","11102706","11128030","","11764161","12161376","12643289","13265036","",
"Euro area","EMU","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","25100000","25500000","25700000","25400000","25500000","25300000","25000000","24700000","24300000","23900000","23400000","22900000","22300000","21700000","21300000","20900000","20700000","20400000","20200000","19900000","19600000","19300000","19000000","18900000","18800000","18700000","19200000","19000000","19100000","18900000","18700000","18400000","18100000","17900000","17800000","18000000","18000000","18200000","18200000","18200000","18100000","18100000","18000000","18100000","18100000","18300000","18300000","18500000","18500000","18500000","",
"Eritrea","ERI","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","128504","115869","109087","150870","184492","207099","224287","241725","240737","","261963","295941","298691","330278","359299","374997","377512","364263","331855","314034","300129","286021","311737","334245","396398","361604","361684","","347009","349753","","",
