"Data Source","World Development Indicators",

"Last Updated Date","2021-07-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Spain","ESP","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","3559425","3719113","3589080","3667516","3692600","3653320","3624136","3601948","3605324","3608854","3609623","3633713","3633906","3607755","3569744","3483948","3412939","3246655","3116889","2961953","2820497","2662490","2582343","2471084","2364910","2799960","2702553","2633678","2579908","2539995","2505203","2490744","2488319","2497513","2484903","2501205","2555757","2625414","2684078","2720989","2772909","2816584","2934648","2960626","3010404","3027751","3042396","3043396","","",
"Estonia","EST","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","131705","133655","134854","135649","136956","138573","148545","153202","153395","128132","127389","126050","122111","120667","121404","125718","126800","127823","126671","123406","117289","108637","100171","92098","85539","79589","76026","74629","73563","72955","73054","74249","75644","77215","79594","82824","85617","88107","","",
"Ethiopia","ETH","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","655427","716729","762686","859831","959822","1084307","1176636","1143207","1377703","1811251","2130716","2374362","2511050","2497114","2407380","2448778","2736517","2884033","2855846","2662214","2466464","2063636","1855894","2283638","2722192","3380068","4007694","5092770","5167582","5847259","6650841","7213043","7623074","8269663","10019729","10971581","12174719","13379059","13570558","13635289","14297969","14532477","","15733276","16198047","","","","","",
"European Union","EUU","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","39400000","39600000","39600000","39200000","39100000","38900000","38600000","38200000","37700000","37100000","36400000","35600000","35000000","34400000","34000000","33700000","33400000","33200000","32900000","32500000","32100000","31700000","31400000","31300000","31300000","31200000","31700000","31600000","31600000","31200000","30700000","30100000","29600000","29100000","29000000","28800000","28500000","28300000","28200000","28000000","27900000","27800000","27900000","28400000","28300000","28600000","28900000","29300000","29400000","29400000","",
"Fragile and conflict affected situations","FCS","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","22800000","23600000","24700000","25800000","26500000","27300000","28300000","30300000","33000000","35900000","38200000","40800000","42800000","44200000","45400000","45600000","45200000","45500000","46100000","46400000","46900000","49700000","51300000","53300000","54500000","54800000","53000000","54800000","56500000","57500000","60200000","62200000","66300000","69200000","72500000","74800000","77900000","78700000","80300000","83000000","85900000","90400000","94600000","97100000","99600000","99800000","102000000","105000000","108000000","110000000","",
"Finland","FIN","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","386230","379611","380865","393242","406058","453737","438804","422638","406921","390492","373347","365418","365965","369047","373583","379339","386914","389485","388756","389067","390587","392695","392537","390892","387306","384369","380932","381078","382746","388063","392150","393267","392741","387934","381785","372128","364902","357403","351095","347060","345615","347245","348432","351766","355231","359635","363990","368852","","",
"Fiji","FJI","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","97103","100508","102874","105659","105893","104950","103396","101986","101149","99119","98890","99418","","102319","105176","109032","112422","114740","","","","122008","121397","","121290","118631","115666","115965","116410","115945","114710","115312","114267","113432","113449","","109702","103641","102543","100967","","101384","102778","105037","","108727","110127","","","121666","",
"France","FRA","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","4939683","4853725","4759935","4724128","4670406","4601550","4568134","4618436","4647552","4650954","4610361","4535613","4387003","4259598","4126435","4115846","4118403","4151664","4176391","4163161","4149143","4109797","4060408","4078370","4071599","4065005","4004704","3979453","3944227","3884560","3837902","3807739","3791555","3783197","4015490","4051861","4105628","4139284","4152622","4159086","4171826","4155596","4171003","4188552","4255988","4284172","4309942","4302412","","",
"Faroe Islands","FRO","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","5539","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","22622","23096","24055","23605","23649","23321","24212","24331","24332","","","","","","","","","","","","","","","","","","","","","","","","","19105","18793","","18512","","","","","","","14307","13758","13819","","","13819","",
"Gabon","GAB","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","100625","105601","110466","114172","121407","128552","130398","140632","141569","148520","155081","160349","165559","172201","178813","183607","191280","195049","207023","","","210000","","229713","247018","250693","256171","","265244","","265714","281871","279816","","","","","","","","317946","","","","","","","","","",
"United Kingdom","GBR","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","5806349","5880238","5888063","5876761","5811517","5725167","5636473","5495784","5326864","5133710","4910724","4688572","4474000","4368700","4275000","4296000","4322000","4370000","4414966","4487000","4532500","4559500","","","","","","4664429","4661234","4631623","4596110","4536143","4488162","4685733","4634991","4517618","4409184","4465021","4416474","4421903","4419840","4523583","4622158","4509479","4621192","4721647","4820283","4892502","","",
"Georgia","GEO","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","322292","","","","","311458","","","","","352393","344447","309153","301732","291175","288509","293325","301022","302488","298352","277119","255029","239298","363951","338222","326597","322249","311265","298935","289137","285539","287245","287343","285329","288541","291447","301094","305368","316542","",
"Ghana","GHA","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","966906","975042","1025872","1035163","1072032","1180449","1237557","1270770","1320757","1371730","1443000","1504732","1504982","1481398","1550624","1505819","1565236","1581870","1705843","1703074","1945422","2011602","2047288","2138635","2154646","2197172","2333347","","2377444","2560886","2446417","2586434","2524237","2678912","2929536","3130575","3367157","3625178","3659116","","3860381","4062026","4105913","4117152","4342315","4358176","4393061","4401194","4549875","",
"Gibraltar","GIB","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","3382","3821","2812","2823","2759","2808","2677","2778","2737","2702","2750","2844","2852","2934","2830","","","","","","","","","","","","2729","","2607","2366","2377","","","","","","","3211","3255","","","","","","","2796","2834","","2889","",
"Guinea","GIN","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","191287","163982","190576","196411","203143","198849","225727","237999","252100","262833","257547","249905","247702","246129","287804","276438","270140","288914","302809","310064","346807","359406","421869","471792","544729","584161","649835","674732","726561","790497","853623","997645","1073458","1147388","1206743","1258038","1317791","1364491","1389685","1453355","1536722","1599839","1666156","1729630","","1776560","","","","",
"Gambia, The","GMB","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","17140","17463","19421","20724","22424","24617","25513","27560","32220","37468","47101","53000","58356","64531","69512","72917","74455","75093","73673","77767","86307","90645","97262","105471","113241","124513","133409","141567","170371","174626","181835","182562","196426","204731","205347","207474","218638","220931","224058","229013","228495","244033","255957","274903","293503","308729","329828","350323","374678","",
"Guinea-Bissau","GNB","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","27974","32896","41437","49360","75634","81890","","83139","80590","76709","74539","74803","74359","74979","76268","","77004","75892","79035","","","79882","79611","91103","100369","106338","117033","125287","","150041","181655","","","232292","252488","269287","","","","278890","","","","","","","","","","",
"Equatorial Guinea","GNQ","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","31600","","","35977","","","","","","","44499","45428","52021","61532","","","","","","","","","72725","75751","","","","","74940","73377","78477","78390","73771","","75809","","","81099","82417","85061","86821","92029","","","93396","","","","","",
"Greece","GRC","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","907446","905542","909441","922298","927848","935730","937780","932978","922401","899546","900641","891488","890171","888440","889648","887735","865660","868335","853527","834688","813353","784707","749312","723701","710774","675267","652040","648608","645534","645313","636460","646343","652052","657492","650242","645324","639083","","","642639","637020","636713","633534","628753","643762","646577","649246","643187","","",
"Grenada","GRD","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","30355","29795","28745","28129","22072","21195","20259","19618","19114","18720","18076","17739","17704","17265","17171","16538","17963","18231","","19180","19811","21365","22345","22576","22679","21097","23313","22286","20017","16178","15974","17378","16598","15819","14427","","13733","13873","14186","13663","","","12948","13061","13445","13196","13464","13195","","",
"Greenland","GRL","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","505691","531122","555975","571294","601189","627126","639783","680274","718846","756541","803404","874697","848116","930130","979888","1016474","1040781","1097851","1149134","","1164937","1249413","1340657","1393921","1412720","1470754","1510811","1544709","1685411","1823989","1909389","1971539","2075694","","2280706","2345301","2405041","2448976","2500575","2659776","2653483","2644683","2556314","2499076","2417429","2381916","2350849","2348863","2362116","2365800","",
"Guam","GUM","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","17927","18437","18673","18477","17811","20215","20145","","17744","18037","18093","17945","17807","17353","17130","16783","16733","16660","15516","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","130484","130671","131580","132023","","130240","140394","138144","137312","132075","130832","130003","126372","121869","117211","113857","112581","114700","118015","","104241","100116","98134","98132","99664","100252","102000","","107207","108909","109292","","110828","","116756","","109243","107456","100760","99241","98662","94488","","","","","","","","",
"High income","HIC","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","87100000","88100000","88000000","87800000","86800000","86100000","85500000","84800000","84200000","83600000","85000000","84200000","83900000","82700000","81600000","80800000","80400000","80200000","80200000","80300000","80600000","80300000","80100000","80200000","80300000","80800000","81200000","81200000","81500000","81500000","81200000","81000000","80100000","79600000","79100000","78600000","78100000","78100000","77800000","77300000","76800000","76500000","76400000","77000000","77100000","77500000","77800000","78400000","78400000","79500000","",
"Hong Kong SAR, China","HKG","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","739619","739944","725172","704536","677421","642611","606860","574822","553530","542327","540260","537123","538458","539856","536220","534903","531993","534309","535037","534450","524919","515938","501625","485061","476847","467718","","461911","480069","496801","498175","497376","487465","472863","451171","429892","414501","389937","369047","348549","334415","326208","320654","324171","332531","340932","352469","365732","376310","",
"Honduras","HND","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","381685","392668","412050","420714","442668","460744","483210","493223","524720","575152","601337","613633","671786","703608","736902","765809","810412","","863313","","889346","908446","959466","990352","1008181","1008092","1032595","1054964","1067582","1080869","1094792","","","1255859","1257358","1231533","1293333","1251733","1276495","1265963","1274904","1259405","1216739","1179022","1150042","1154139","1145093","1123945","","1103956","",
"Heavily indebted poor countries (HIPC)","HPC","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","17600000","18200000","18800000","19700000","20600000","21900000","23500000","25100000","26700000","28200000","29900000","31400000","31800000","32700000","33400000","33800000","34500000","35000000","36100000","36300000","36500000","38500000","38800000","40100000","42100000","45000000","46300000","51100000","53400000","54400000","57800000","62100000","68400000","73400000","78300000","83100000","87900000","92600000","99000000","102000000","105000000","107000000","112000000","115000000","119000000","121000000","124000000","128000000","132000000","135000000","",
"Croatia","HRV","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","206976","212986","210212","207890","203933","206121","202999","199084","195638","193179","192004","","196253","194748","190693","182296","174192","167452","162186","159945","160275","160819","162355","162519","162955","161740","","",
"Haiti","HTI","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","366846","391220","411009","431607","451140","487135","510716","517723","528611","580127","642391","658102","723041","783070","819565","872500","763412","","","","","926095","996856","1090366","1192986","1305620","1429280","1485722","","","","","","","","","","","","","","","","","","","","","","",
"Hungary","HUN","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","528053","517494","518002","528074","548773","567331","584960","590268","584236","586230","602318","647100","682038","707729","708415","677387","644816","596965","561356","530993","506800","497771","494107","507617","508003","507238","502555","504046","503302","500946","489768","477865","464013","446610","430561","415858","399250","394246","389510","387969","387262","384834","385466","393020","395549","394433","390970","373837","","",
"IBRD only","IBD","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","279000000","287000000","298000000","317000000","330000000","343000000","353000000","360000000","359000000","365000000","373000000","378000000","382000000","384000000","388000000","391000000","400000000","396000000","400000000","405000000","408000000","409000000","412000000","419000000","426000000","435000000","441000000","443000000","448000000","448000000","445000000","437000000","425000000","424000000","437000000","434000000","431000000","434000000","434000000","430000000","427000000","426000000","428000000","431000000","424000000","426000000","437000000","437000000","419000000","423000000","",
"IDA & IBRD total","IBT","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","320000000","330000000","343000000","366000000","381000000","397000000","410000000","420000000","422000000","433000000","444000000","454000000","461000000","467000000","473000000","477000000","485000000","483000000","490000000","497000000","502000000","508000000","514000000","525000000","536000000","548000000","556000000","565000000","575000000","577000000","581000000","578000000","574000000","579000000","600000000","604000000","607000000","615000000","619000000","621000000","623000000","628000000","637000000","643000000","641000000","645000000","662000000","666000000","654000000","663000000","",
"IDA total","IDA","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","41400000","42500000","45600000","48900000","51500000","54100000","56800000","60100000","63500000","68100000","71800000","76200000","79800000","82900000","84700000","85400000","85700000","87500000","90900000","92800000","94800000","99100000","102000000","106000000","110000000","113000000","115000000","122000000","127000000","130000000","136000000","141000000","149000000","156000000","163000000","170000000","176000000","181000000","186000000","191000000","196000000","203000000","209000000","212000000","217000000","219000000","225000000","229000000","235000000","240000000","",
"IDA blend","IDB","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","12200000","12900000","13800000","14700000","16100000","16600000","17000000","18700000","20200000","22800000","24500000","26700000","29200000","30600000","31400000","31700000","30900000","31600000","31800000","32400000","33700000","34600000","36200000","38100000","39100000","39300000","38700000","40800000","42800000","44600000","46900000","47700000","48400000","50600000","52900000","54800000","54900000","55500000","54500000","56300000","57800000","59800000","61800000","63500000","64800000","64900000","67600000","68700000","70800000","72800000","",
"Indonesia","IDN","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","14870220","15519557","16140125","16643900","16892010","17776616","18779944","19783270","22024820","","","25537052","27026488","27990276","29108580","29909188","29897116","29882556","29999990","30130564","29933790","29753576","29577704","29598790","29876196","29721860","29447990","29236284","29273302","29294928","28508964","28690132","28926376","29050834","29142092","29149746","28982708","29796704","29498266","29901052","30341820","30662440","30784378","30109356","29838440","29699772","29450356","29351816","29425748","","",
"IDA only","IDX","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","28900000","29300000","31500000","34000000","35200000","37300000","39500000","41200000","43100000","45000000","47000000","49200000","50400000","52000000","53100000","53400000","54500000","55600000","58800000","60100000","60800000","64100000","65900000","67900000","70600000","73800000","76000000","80900000","83600000","85100000","89100000","93100000","100000000","105000000","110000000","115000000","121000000","125000000","131000000","135000000","138000000","143000000","147000000","149000000","152000000","154000000","157000000","160000000","164000000","167000000","",
"Isle of Man","IMN","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","57045440","58818644","62400628","63125100","64855640","65660024","69060728","67360992","68602224","71183224","73873184","76105904","79506944","82590192","83932704","87440512","87129224","90459728","95739976","97318112","99118320","101577088","105370216","108200536","109043664","109734288","110390408","109412904","110985880","113612544","113826976","115194576","125568600","","","","137742640","139317984","138368128","138413840","137746816","139869904","141154752","137808912","138518032","145802544","143227424","","120064160","",
"Not classified","INX","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","399700","399560","403700","399894","402219","404818","406432","410402","414624","418247","419998","420871","421539","420444","420665","420236","422150","423402","423662","422396","416747","408567","402226","391998","380983","367689","358830","465186","456564","449638","443617","445947","447618","450413","454060","461588","475836","486921","498838","506400","511466","518223","527768","536471","544856","553585","559151","564304","","",
"Iran, Islamic Rep.","IRN","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","3415650","3230880","3445528","3646421","4119157","4468299","4768588","5020686","4395000","4929000","4799000","5283377","5592808","5994403","6343300","6788323","7232820","7757707","8262441","8817145","9369646","9787593","9937369","9862817","9745600","9593784","9238393","9065214","8667147","8287537","7968437","7513015","7028924","6647917","6206718","6006553","5827851","5725620","5695590","5629585","5678434","5746859","7857540","7441078","7670175","8006278","8171667","","","",
"Iraq","IRQ","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","1098865","1195530","1297756","1408929","1523955","1776095","1949718","2048566","2459999","2609182","2615910","2637023","2620883","2698542","2754887","2816326","2920959","2996953","3023132","","3328212","2824556","2857467","","","2903923","","","3603864","3639362","","","4280602","4334609","","","4864350","","","","","","","","","","","","","",
"Iceland","ISL","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","27066","27336","27217","27046","26922","26418","25924","25138","24687","24599","24736","24809","25018","25280","25058","24603","24560","25108","25420","25525","29816","29649","29351","28960","29138","29221","29342","29705","30355","31282","31786","31465","31470","30984","30785","30421","30084","29945","29860","29568","29432","29387","29578","29892","30422","31194","31981","32421","","",
"Israel","ISR","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","388057","396193","405759","416206","427923","441226","452905","474427","487345","500721","517174","527968","534025","537547","534514","537493","533635","525606","544748","567496","582504","595525","618513","631916","","","662329","676676","684986","693567","702128","714410","721999","736255","757809","769328","786094","807424","821481","842079","848721","861699","883706","896526","917118","936214","","",
"Italy","ITA","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","4856953","4926336","4973881","4969667","4927452","4833415","4735301","4648504","4562441","4506566","4422888","4332584","4204272","4062756","3904143","3703108","3518316","3370509","3237594","3140113","3055883","3004264","2959564","2863279","2815631","2816128","2810158","2818053","2875852","2836333","2810337","2789880","2778877","2768386","2771247","2790254","2820150","2830056","2819193","2822146","2827564","2818734","2860957","2862666","2856247","2831821","2902379","2870763","","",
"Jamaica","JAM","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","376075","387740","379496","395036","372260","371876","367525","368046","370516","363420","359488","363593","361426","355248","347705","340059","342569","333997","339163","339023","339500","","333104","","","","","","319690","326847","328496","329762","325302","331286","326411","","310021","315129","312262","294285","289612","283628","278331","266201","259449","253196","246972","248836","232694","",
"Jordan","JOR","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","277619","298802","326111","352696","371631","386012","402401","414490","431107","448411","454391","467696","473027","487890","504226","530906","542519","570795","575464","590275","618274","651783","669755","675316","677945","683400","","692550","706198","723508","","766093","786154","799888","804904","805457","807702","817160","","819601","834958","849390","883453","979792","","1049674","1106611","1133982","1147202","",
"Japan","JPN","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","9630815","9728516","9825682","9816536","10088776","10364846","10609985","10819651","11146874","11629110","11826573","11924653","11901520","11739452","11464221","11095372","10665404","10226323","9872520","9606627","9373295","9157429","8947226","8798082","8612106","8370246","8105629","7883565","7691872","7528907","7394582","7325866","7268928","7257223","7231854","7229135","7220111","7166285","7156039","7098862","7029265","6923951","6801716","6714539","6638174","6581949","6531731","6504523","","",
"Kazakhstan","KAZ","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","1064000","","","","","1147700","","","1142400","1162777","1205572","1239817","1258529","1251111","1367066","1372600","1342035","1290810","1248900","1208320","1190069","1158299","1120005","1079598","1023974","972931","947807","956019","950976","957919","985599","1008459","1056916","1122282","1196027","1273774","1356500","1406967","1461448","",
"Kenya","KEN","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","1263738","1352348","1492679","1621142","2491606","2653716","2651403","2737709","2736389","3416557","3575222","3612669","3813077","3938522","3927269","3884806","4012777","4138463","4212741","4389718","4389124","4437893","4514876","4610074","4557496","4540147","","","4828169","4782375","5034858","5148371","4903529","5811381","5926078","6075706","6101390","6687510","6868810","7150259","","","8053125","","8158000","8168710","8290450","","","","",
"Kyrgyz Republic","KGZ","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","306000","","","","","342600","","","332900","340800","352204","361163","369172","380595","387580","473463","477914","473488","469779","465596","458660","453357","449399","444417","434155","423930","407669","399833","392485","390711","390963","405318","419064","434642","451212","469852","501011","528627","551210","",
"Cambodia","KHM","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","337729","484088","479616","","","","","","","","1328053","1538838","1597081","1504839","1367089","1315531","1294227","1279053","1313689","1276960","1329573","","","1621685","1703316","","1918985","2011772","2127428","2248109","2431142","2728698","2772113","2762882","2695372","2582250","2479644","2340606","2289759","2272527","2224267","2194716","2224955","2128685","2178916","2105903","2111631","2147313","2163143","",
"Kiribati","KIR","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","11125","13962","11540","","14862","12792","13679","13481","13192","13235","13383","13836","13612","13194","13440","13331","13242","13551","14321","14709","15570","16020","16316","16800","17017","17279","17594","17557","14328","14566","15693","14809","15798","15611","16133","16087","15764","16123","15566","","","","","16192","15915","16880","16695","","","",
"St. Kitts and Nevis","KNA","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","8804","8724","8223","7818","8320","7149","7074","","8070","7655","7810","7796","7585","7473","7665","7249","7236","7068","7092","6938","","","6388","","6922","6717","6440","6401","6394","6350","","6172","6474","6334","6255","5993","5812","5589","5533","5466","5452","","","","",
"Korea, Rep.","KOR","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","5749301","5807448","5775880","5692285","5618768","5599074","5503737","5514417","5604365","5640712","5658002","5586494","5465248","5257164","5040958","4856752","4798323","4771722","4819857","4894261","4868520","4758505","4560128","4347317","4110302","3915848","3794447","3844949","3945977","4030413","4099649","4148432","4185330","4125529","4031590","3933186","3837761","3679629","3481764","3306211","3139724","2959090","2790890","2736224","2721766","2680126","2681815","2719358","","",
"Kuwait","KWT","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","75513","81671","88299","94039","101876","111820","125120","135479","139443","145626","148983","154772","160188","165696","170616","172975","176378","181607","185464","189560","124996","114641","122930","129956","131264","141841","143286","142308","139691","140182","141419","148712","154056","158271","202826","203423","211576","208608","210665","213733","223688","230280","239231","252585","264185","271285","275334","279956","276318","",
"Latin America & Caribbean (excluding high income)","LAC","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","39700000","41500000","42600000","44100000","45200000","45900000","46600000","48400000","49900000","52400000","53600000","54500000","55800000","56100000","57900000","58200000","62800000","59000000","60300000","60000000","62000000","61100000","62100000","62900000","63700000","68000000","68500000","66100000","68900000","67300000","67000000","66800000","66900000","66400000","66400000","66000000","65600000","65500000","65100000","65000000","64400000","63800000","63000000","63400000","62700000","61900000","61300000","60900000","60600000","61600000","",
"Lao PDR","LAO","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","244803","266790","274067","","","317126","414423","424330","451814","463098","479291","480535","480871","485741","495375","523347","","558852","","563734","576472","580792","637359","681044","710702","757551","786335","821546","827664","831521","828113","852857","875300","884629","890821","891881","891807","900817","908880","916341","900123","883938","878283","870893","850466","827987","808705","786246","770659","",
"Lebanon","LBN","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","435066","","","448535","","","","380695","","388482","405402","398977","382500","","329340","","399029","","346534","","","345662","346763","360858","365174","367862","382309","397905","413753","404169","476489","474396","471777","476446","475798","470988","473134","467311","464442","461719","456985","456206","471626","480923","491455","486613","502505","509280","516514","",
"Liberia","LBR","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","80217","84959","90192","","","104056","100217","","129776","134658","147216","","","","132889","","","","","","","","","","","","","","296188","395611","496253","","","","","","488438","","539887","605236","","674534","","","683977","684404","655049","635478","","","",
"Libya","LBY","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","350225","407805","455449","488882","522473","556169","571723","574770","630423","645186","662843","","721710","","","748733","","","","","","","","","","","","","821775","","766087","750204","739028","745428","713902","755338","","","","","","","","","","","","","","",
"St. Lucia","LCA","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","23484","25430","27256","28422","29090","29859","30899","31091","31441","30610","29605","31199","31795","32107","33032","32817","32798","32809","33120","33148","33006","32622","32545","31928","30486","31194","31615","31548","25581","25347","25481","24954","24573","23821","23573","24046","22028","20938","20187","19483","18894","18172","17748","17286","16822","16445","16054","15874","15693","",
"Latin America & Caribbean","LCN","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","42900000","44900000","46000000","47500000","48600000","49200000","49900000","51700000","53200000","55600000","56800000","57700000","59000000","59300000","60900000","61300000","65800000","62000000","63400000","63000000","65100000","64200000","65200000","66000000","66800000","71100000","71700000","69300000","72000000","70500000","70200000","69900000","70000000","69500000","69500000","69100000","68700000","68600000","68100000","67900000","67200000","66600000","65800000","66100000","65400000","64600000","64000000","63600000","63300000","64300000","",
"Least developed countries: UN classification","LDC","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","25600000","25900000","28000000","30300000","31400000","33400000","35600000","37100000","39000000","40800000","42800000","44600000","45400000","46800000","47600000","47400000","48500000","49300000","52300000","53300000","53900000","56800000","58200000","60200000","62600000","65700000","67700000","72400000","75000000","76300000","80200000","84200000","91100000","96900000","102000000","107000000","112000000","118000000","124000000","127000000","130000000","136000000","139000000","142000000","145000000","147000000","150000000","153000000","157000000","160000000","",
"Low income","LIC","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","16100000","16400000","16800000","17500000","18300000","19200000","20400000","21500000","22200000","23200000","24400000","25400000","25500000","26000000","26600000","26900000","27500000","27700000","28600000","28700000","28800000","30500000","30800000","31800000","33500000","36200000","37500000","41600000","43700000","44500000","47300000","50500000","55300000","58700000","62300000","66100000","70000000","73800000","79100000","81800000","84200000","86900000","90300000","92500000","96700000","97700000","100000000","103000000","105000000","108000000","",
"Liechtenstein","LIE","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2218","2266","2242","2247","2244","2158","2133","2067","2014","1980","","1929","1977","1998","2005","1999","","",
"Sri Lanka","LKA","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","1671428","1711885","1564572","1539473","1470300","1436300","1439300","1532350","1942663","2002200","2081391","2132596","2142377","2153595","2186712","2242645","2304499","2037313","2084000","2114800","2112023","2112723","2059203","2012702","1960495","1962498","1843848","","1801933","","","1767650","1729014","1667994","1580072","1610778","1611763","1621617","1631430","1619244","1720806","1735475","1752137","1767322","1777822","1778176","1770517","1746843","1725424","","",
"Lower middle income","LMC","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","109000000","112000000","117000000","123000000","126000000","131000000","134000000","141000000","143000000","148000000","155000000","161000000","167000000","174000000","179000000","181000000","185000000","187000000","194000000","202000000","205000000","211000000","217000000","225000000","231000000","233000000","236000000","240000000","242000000","247000000","253000000","255000000","259000000","273000000","279000000","286000000","290000000","296000000","297000000","298000000","302000000","306000000","312000000","315000000","314000000","316000000","327000000","327000000","310000000","312000000","",
